Date,unique_idfas,unique_ips,unique_uas,total_requests,requests_per_idfa,idfa_ip_ratio,idfa_ua_ratio,IVT
11-09-2025,3535,3535,17,3577,1.011881188,1,207.9411765,0.010695
12-09-2025,17360,17358,19,18165,1.046370968,1.000115221,913.6842105,0.010695
13-09-2025,37790,37788,22,38887,1.029028844,1.000052927,1717.727273,0.011364
14-09-2025,8527,8527,18,8818,1.034126891,1,473.7222222,0.011111
15-09-2025,9002,9002,18,9380,1.041990669,1,500.1111111,0.010638
16-09-2025,8816,8816,20,9182,1.041515426,1,440.8,0.010638
17-09-2025,9124,9124,18,9506,1.041867602,1,506.8888889,0.010989
18-09-2025,8834,8833,18,9013,1.020262622,1.000113212,490.7777778,0.010526
19-09-2025,8450,8450,17,8531,1.009585799,1,497.0588235,0.011236
20-09-2025,10061,10061,18,10180,1.01182785,1,558.9444444,0.017391
21-09-2025,12802,12802,19,12988,1.01452898,1,673.7894737,0.015267
22-09-2025,17934,17933,19,18407,1.026374484,1.000055763,943.8947368,0.015873
23-09-2025,16382,16378,22,16979,1.036442437,1.00024423,744.6363636,0.010695
